welcomeKey_resp.keys,welcomeKey_resp.rt,X Scale,Y Scale,rt_resp_4.keys,rt_resp_4.corr,rt_resp_4.rt,speedtest_2.thisRepN,speedtest_2.thisTrialN,speedtest_2.thisN,speedtest_2.thisIndex,speedtest_2.ran,numberSc,posX,positionLayout,participant,date,expName,psychopyVersion,OS,frameRate,ct_instrresp.keys,ct_instrresp.rt,key_resp_2.keys,key_resp_2.rt,ct_keyResp.keys,ct_keyResp.corr,ct_keyResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,leftNo,rightNo,displayProblem,numDistance,leftNo_size,rightNo_size,Dims,keyAnswer,TS_Loop.thisRepN,TS_Loop.thisTrialN,TS_Loop.thisN,TS_Loop.thisIndex,TS_Loop.ran,Condition,ActionInst,instrImage,mltptaskInst_resp.keys,mltptaskInst_resp.rt,continue_resp_2.keys,continue_resp_2.rt,multp_Answer,multi_RT,multiplyCorr,LoopingMultiply.thisRepN,LoopingMultiply.thisTrialN,LoopingMultiply.thisN,LoopingMultiply.thisIndex,LoopingMultiply.ran,factor1,multiplySign,factor2,multliplyProblem,physicalSize,orderOperand,sizeF1,sizeF2,mult_answer,trials_stroop.thisRepN,trials_stroop.thisTrialN,trials_stroop.thisN,trials_stroop.thisIndex,trials_stroop.ran,multiplicationFile,esckey_resp_2.keys,esckey_resp_2.rt
,,,,,,,,,,,,,,,764,2022-01-23_20h26.01.160,multiplicationStroop,2021.2.3,Win32,59.23468783,,,,,right,1,0.4481,0,15,15,30,1,7,6,7 | 6,1,1.4111,1.9756,incongruent,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,764,2022-01-23_20h26.01.160,multiplicationStroop,2021.2.3,Win32,59.23468783,,,,,right,1,0.4997,0,16,16,39,1,9,7,9 | 7,2,1.4111,1.9756,incongruent,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,764,2022-01-23_20h26.01.160,multiplicationStroop,2021.2.3,Win32,59.23468783,,,,,left,1,0.501,0,17,17,43,1,4,9,4 | 9,5,1.9756,1.4111,incongruent,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,764,2022-01-23_20h26.01.160,multiplicationStroop,2021.2.3,Win32,59.23468783,,,,,left,1,0.4794,0,18,18,22,1,8,3,8 | 3,5,1.9756,1.4111,congruent,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,764,2022-01-23_20h26.01.160,multiplicationStroop,2021.2.3,Win32,59.23468783,,,,,right,1,0.5106,0,19,19,38,1,8,6,8 | 6,2,1.4111,1.9756,incongruent,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,764,2022-01-23_20h26.01.160,multiplicationStroop,2021.2.3,Win32,59.23468783,,,,,left,1,0.4744,0,20,20,6,1,7,6,7 | 6,1,1.9756,1.4111,congruent,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,764,2022-01-23_20h26.01.160,multiplicationStroop,2021.2.3,Win32,59.23468783,,,,,left,1,0.4904,0,21,21,32,1,1,3,1 | 3,2,1.9756,1.4111,incongruent,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,764,2022-01-23_20h26.01.160,multiplicationStroop,2021.2.3,Win32,59.23468783,,,,,right,1,0.5471,0,22,22,62,1,8,8,8 | 8,0,1.4111,1.9756,neutral,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,764,2022-01-23_20h26.01.160,multiplicationStroop,2021.2.3,Win32,59.23468783,,,,,right,1,0.4885,0,23,23,2,1,6,7,6 | 7,1,1.4111,1.9756,congruent,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,764,2022-01-23_20h26.01.160,multiplicationStroop,2021.2.3,Win32,59.23468783,,,,,left,1,0.429,0,24,24,53,1,4,4,4 | 4,0,1.9756,1.4111,neutral,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
