welcomeKey_resp.keys,welcomeKey_resp.rt,X Scale,Y Scale,rt_resp_4.keys,rt_resp_4.corr,rt_resp_4.rt,speedtest_2.thisRepN,speedtest_2.thisTrialN,speedtest_2.thisN,speedtest_2.thisIndex,speedtest_2.ran,numberSc,posX,positionLayout,participant,date,expName,psychopyVersion,OS,frameRate,ct_instrresp.keys,ct_instrresp.rt,key_resp_2.keys,key_resp_2.rt,ct_keyResp.keys,ct_keyResp.corr,ct_keyResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,leftNo,rightNo,displayProblem,numDistance,leftNo_size,rightNo_size,Dims,keyAnswer,TS_Loop.thisRepN,TS_Loop.thisTrialN,TS_Loop.thisN,TS_Loop.thisIndex,TS_Loop.ran,Condition,ActionInst,instrImage,mltptaskInst_resp.keys,mltptaskInst_resp.rt,continue_resp_2.keys,continue_resp_2.rt,multp_Answer,multi_RT,multiplyCorr,LoopingMultiply.thisRepN,LoopingMultiply.thisTrialN,LoopingMultiply.thisN,LoopingMultiply.thisIndex,LoopingMultiply.ran,factor1,multiplySign,factor2,multliplyProblem,physicalSize,orderOperand,sizeF1,sizeF2,mult_answer,trials_stroop.thisRepN,trials_stroop.thisTrialN,trials_stroop.thisN,trials_stroop.thisIndex,trials_stroop.ran,multiplicationFile,esckey_resp_2.keys,esckey_resp_2.rt
y,5.869,54.3,52.9,left,1,0.4776,0,0,0,5,1,7,-200,left,820,2022-01-15_09h53.36.632,multiplicationStroop,2021.2.3,Win32,57.2672088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,left,1,0.4529,0,1,1,3,1,4,-200,left,820,2022-01-15_09h53.36.632,multiplicationStroop,2021.2.3,Win32,57.2672088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,right,1,0.3421,0,2,2,15,1,9,200,right,820,2022-01-15_09h53.36.632,multiplicationStroop,2021.2.3,Win32,57.2672088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,left,1,0.3411,0,3,3,1,1,2,-200,left,820,2022-01-15_09h53.36.632,multiplicationStroop,2021.2.3,Win32,57.2672088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,right,1,0.3154,0,4,4,14,1,8,200,right,820,2022-01-15_09h53.36.632,multiplicationStroop,2021.2.3,Win32,57.2672088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,left,1,0.3482,0,5,5,0,1,1,-200,left,820,2022-01-15_09h53.36.632,multiplicationStroop,2021.2.3,Win32,57.2672088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,left,1,0.3329,0,6,6,6,1,8,-200,left,820,2022-01-15_09h53.36.632,multiplicationStroop,2021.2.3,Win32,57.2672088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,left,1,0.3006,0,7,7,7,1,9,-200,left,820,2022-01-15_09h53.36.632,multiplicationStroop,2021.2.3,Win32,57.2672088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,right,1,0.334,0,8,8,11,1,4,200,right,820,2022-01-15_09h53.36.632,multiplicationStroop,2021.2.3,Win32,57.2672088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,right,1,0.3519,0,9,9,12,1,6,200,right,820,2022-01-15_09h53.36.632,multiplicationStroop,2021.2.3,Win32,57.2672088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,right,1,0.3174,0,10,10,8,1,1,200,right,820,2022-01-15_09h53.36.632,multiplicationStroop,2021.2.3,Win32,57.2672088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,left,1,0.3215,0,11,11,4,1,6,-200,left,820,2022-01-15_09h53.36.632,multiplicationStroop,2021.2.3,Win32,57.2672088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,right,1,0.2996,0,12,12,13,1,7,200,right,820,2022-01-15_09h53.36.632,multiplicationStroop,2021.2.3,Win32,57.2672088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,right,1,0.3855,0,13,13,9,1,2,200,right,820,2022-01-15_09h53.36.632,multiplicationStroop,2021.2.3,Win32,57.2672088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,right,1,0.3511,0,14,14,10,1,3,200,right,820,2022-01-15_09h53.36.632,multiplicationStroop,2021.2.3,Win32,57.2672088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,left,1,0.3192,0,15,15,2,1,3,-200,left,820,2022-01-15_09h53.36.632,multiplicationStroop,2021.2.3,Win32,57.2672088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,right,1,0.289,1,0,16,14,1,8,200,right,820,2022-01-15_09h53.36.632,multiplicationStroop,2021.2.3,Win32,57.2672088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,left,1,0.2829,1,1,17,3,1,4,-200,left,820,2022-01-15_09h53.36.632,multiplicationStroop,2021.2.3,Win32,57.2672088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,right,1,0.2336,1,2,18,12,1,6,200,right,820,2022-01-15_09h53.36.632,multiplicationStroop,2021.2.3,Win32,57.2672088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,left,1,0.3003,1,3,19,2,1,3,-200,left,820,2022-01-15_09h53.36.632,multiplicationStroop,2021.2.3,Win32,57.2672088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,right,1,0.2819,1,4,20,10,1,3,200,right,820,2022-01-15_09h53.36.632,multiplicationStroop,2021.2.3,Win32,57.2672088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,right,1,0.3541,1,5,21,15,1,9,200,right,820,2022-01-15_09h53.36.632,multiplicationStroop,2021.2.3,Win32,57.2672088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,left,1,0.2978,1,6,22,5,1,7,-200,left,820,2022-01-15_09h53.36.632,multiplicationStroop,2021.2.3,Win32,57.2672088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,right,1,0.286,1,7,23,13,1,7,200,right,820,2022-01-15_09h53.36.632,multiplicationStroop,2021.2.3,Win32,57.2672088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,left,1,0.2679,1,8,24,1,1,2,-200,left,820,2022-01-15_09h53.36.632,multiplicationStroop,2021.2.3,Win32,57.2672088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,right,1,0.2908,1,9,25,9,1,2,200,right,820,2022-01-15_09h53.36.632,multiplicationStroop,2021.2.3,Win32,57.2672088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,left,1,0.2997,1,10,26,4,1,6,-200,left,820,2022-01-15_09h53.36.632,multiplicationStroop,2021.2.3,Win32,57.2672088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,left,1,0.4389,1,11,27,6,1,8,-200,left,820,2022-01-15_09h53.36.632,multiplicationStroop,2021.2.3,Win32,57.2672088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,left,1,0.283,1,12,28,0,1,1,-200,left,820,2022-01-15_09h53.36.632,multiplicationStroop,2021.2.3,Win32,57.2672088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,right,1,0.3313,1,13,29,8,1,1,200,right,820,2022-01-15_09h53.36.632,multiplicationStroop,2021.2.3,Win32,57.2672088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,right,1,0.3552,1,14,30,11,1,4,200,right,820,2022-01-15_09h53.36.632,multiplicationStroop,2021.2.3,Win32,57.2672088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,left,1,0.266,1,15,31,7,1,9,-200,left,820,2022-01-15_09h53.36.632,multiplicationStroop,2021.2.3,Win32,57.2672088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,left,1,0.373,2,0,32,0,1,1,-200,left,820,2022-01-15_09h53.36.632,multiplicationStroop,2021.2.3,Win32,57.2672088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,left,1,0.2809,2,1,33,3,1,4,-200,left,820,2022-01-15_09h53.36.632,multiplicationStroop,2021.2.3,Win32,57.2672088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,right,1,0.2977,2,2,34,13,1,7,200,right,820,2022-01-15_09h53.36.632,multiplicationStroop,2021.2.3,Win32,57.2672088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,right,1,0.358,2,3,35,9,1,2,200,right,820,2022-01-15_09h53.36.632,multiplicationStroop,2021.2.3,Win32,57.2672088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,right,1,0.2838,2,4,36,14,1,8,200,right,820,2022-01-15_09h53.36.632,multiplicationStroop,2021.2.3,Win32,57.2672088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,left,1,0.3153,2,5,37,2,1,3,-200,left,820,2022-01-15_09h53.36.632,multiplicationStroop,2021.2.3,Win32,57.2672088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,left,1,0.2992,2,6,38,7,1,9,-200,left,820,2022-01-15_09h53.36.632,multiplicationStroop,2021.2.3,Win32,57.2672088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,left,1,0.2823,2,7,39,4,1,6,-200,left,820,2022-01-15_09h53.36.632,multiplicationStroop,2021.2.3,Win32,57.2672088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
