welcomeKey_resp.keys,welcomeKey_resp.rt,X Scale,Y Scale,rt_resp_4.keys,rt_resp_4.corr,rt_resp_4.rt,speedtest_2.thisRepN,speedtest_2.thisTrialN,speedtest_2.thisN,speedtest_2.thisIndex,speedtest_2.ran,numberSc,posX,positionLayout,participant,date,expName,psychopyVersion,OS,frameRate,ct_instrresp.keys,ct_instrresp.rt,key_resp_2.keys,key_resp_2.rt,ct_keyResp.keys,ct_keyResp.corr,ct_keyResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,leftNo,rightNo,displayProblem,numDistance,leftNo_size,rightNo_size,Dims,keyAnswer,TS_Loop.thisRepN,TS_Loop.thisTrialN,TS_Loop.thisN,TS_Loop.thisIndex,TS_Loop.ran,Condition,ActionInst,instrImage,mltptaskInst_resp.keys,mltptaskInst_resp.rt,continue_resp_2.keys,continue_resp_2.rt,multp_Answer,multi_RT,multiplyCorr,LoopingMultiply.thisRepN,LoopingMultiply.thisTrialN,LoopingMultiply.thisN,LoopingMultiply.thisIndex,LoopingMultiply.ran,factor1,multiplySign,factor2,multliplyProblem,physicalSize,orderOperand,sizeF1,sizeF2,mult_answer,trials_stroop.thisRepN,trials_stroop.thisTrialN,trials_stroop.thisN,trials_stroop.thisIndex,trials_stroop.ran,multiplicationFile,esckey_resp_2.keys,esckey_resp_2.rt
y,5.6663,45.3,44.9,right,1,0.6287,0,0,0,14,1,8,200,right,687,2022-02-05_14h20.49.721,multiplicationStroop,2021.2.3,Win32,59.75143403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,right,1,0.2848,0,1,1,15,1,9,200,right,687,2022-02-05_14h20.49.721,multiplicationStroop,2021.2.3,Win32,59.75143403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,left,1,0.2902,0,2,2,2,1,3,-200,left,687,2022-02-05_14h20.49.721,multiplicationStroop,2021.2.3,Win32,59.75143403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,right,1,0.3135,0,3,3,13,1,7,200,right,687,2022-02-05_14h20.49.721,multiplicationStroop,2021.2.3,Win32,59.75143403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,right,1,0.2428,0,4,4,11,1,4,200,right,687,2022-02-05_14h20.49.721,multiplicationStroop,2021.2.3,Win32,59.75143403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,left,1,0.264,0,5,5,0,1,1,-200,left,687,2022-02-05_14h20.49.721,multiplicationStroop,2021.2.3,Win32,59.75143403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,left,1,0.2925,0,6,6,3,1,4,-200,left,687,2022-02-05_14h20.49.721,multiplicationStroop,2021.2.3,Win32,59.75143403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,right,1,0.2475,0,7,7,10,1,3,200,right,687,2022-02-05_14h20.49.721,multiplicationStroop,2021.2.3,Win32,59.75143403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,right,0,0.2382,0,8,8,6,1,8,-200,left,687,2022-02-05_14h20.49.721,multiplicationStroop,2021.2.3,Win32,59.75143403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,left,1,0.3589,0,9,9,4,1,6,-200,left,687,2022-02-05_14h20.49.721,multiplicationStroop,2021.2.3,Win32,59.75143403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,right,1,0.2817,0,10,10,12,1,6,200,right,687,2022-02-05_14h20.49.721,multiplicationStroop,2021.2.3,Win32,59.75143403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,left,1,0.2168,0,11,11,7,1,9,-200,left,687,2022-02-05_14h20.49.721,multiplicationStroop,2021.2.3,Win32,59.75143403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,left,1,0.24,0,12,12,1,1,2,-200,left,687,2022-02-05_14h20.49.721,multiplicationStroop,2021.2.3,Win32,59.75143403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,right,1,0.2552,0,13,13,8,1,1,200,right,687,2022-02-05_14h20.49.721,multiplicationStroop,2021.2.3,Win32,59.75143403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,right,1,0.2696,0,14,14,9,1,2,200,right,687,2022-02-05_14h20.49.721,multiplicationStroop,2021.2.3,Win32,59.75143403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,left,1,0.2665,0,15,15,5,1,7,-200,left,687,2022-02-05_14h20.49.721,multiplicationStroop,2021.2.3,Win32,59.75143403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,left,1,0.2888,1,0,16,1,1,2,-200,left,687,2022-02-05_14h20.49.721,multiplicationStroop,2021.2.3,Win32,59.75143403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,right,1,0.2839,1,1,17,9,1,2,200,right,687,2022-02-05_14h20.49.721,multiplicationStroop,2021.2.3,Win32,59.75143403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,left,1,0.3166,1,2,18,0,1,1,-200,left,687,2022-02-05_14h20.49.721,multiplicationStroop,2021.2.3,Win32,59.75143403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,left,1,0.2748,1,3,19,7,1,9,-200,left,687,2022-02-05_14h20.49.721,multiplicationStroop,2021.2.3,Win32,59.75143403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,left,1,0.2412,1,4,20,3,1,4,-200,left,687,2022-02-05_14h20.49.721,multiplicationStroop,2021.2.3,Win32,59.75143403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,left,1,0.2707,1,5,21,5,1,7,-200,left,687,2022-02-05_14h20.49.721,multiplicationStroop,2021.2.3,Win32,59.75143403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
