welcomeKey_resp.keys,welcomeKey_resp.rt,X Scale,Y Scale,rt_resp_4.keys,rt_resp_4.corr,rt_resp_4.rt,speedtest_2.thisRepN,speedtest_2.thisTrialN,speedtest_2.thisN,speedtest_2.thisIndex,speedtest_2.ran,numberSc,posX,positionLayout,participant,date,expName,psychopyVersion,OS,frameRate,ct_instrresp.keys,ct_instrresp.rt,key_resp_2.keys,key_resp_2.rt,ct_keyResp.keys,ct_keyResp.corr,ct_keyResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,leftNo,rightNo,displayProblem,numDistance,leftNo_size,rightNo_size,Dims,keyAnswer,TS_Loop.thisRepN,TS_Loop.thisTrialN,TS_Loop.thisN,TS_Loop.thisIndex,TS_Loop.ran,Condition,ActionInst,instrImage,mltptaskInst_resp.keys,mltptaskInst_resp.rt,continue_resp_2.keys,continue_resp_2.rt,multp_Answer,multi_RT,multiplyCorr,LoopingMultiply.thisRepN,LoopingMultiply.thisTrialN,LoopingMultiply.thisN,LoopingMultiply.thisIndex,LoopingMultiply.ran,factor1,multiplySign,factor2,multliplyProblem,physicalSize,orderOperand,sizeF1,sizeF2,mult_answer,trials_stroop.thisRepN,trials_stroop.thisTrialN,trials_stroop.thisN,trials_stroop.thisIndex,trials_stroop.ran,multiplicationFile,esckey_resp_2.keys,esckey_resp_2.rt
y,5.3648,41.9,41.1,right,1,0.6832,0,0,0,10,1,3,200,right,750,2022-01-21_22h13.05.152,multiplicationStroop,2021.2.3,Win32,60.17933442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,right,1,0.3512,0,1,1,15,1,9,200,right,750,2022-01-21_22h13.05.152,multiplicationStroop,2021.2.3,Win32,60.17933442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,left,1,0.4929,0,2,2,5,1,7,-200,left,750,2022-01-21_22h13.05.152,multiplicationStroop,2021.2.3,Win32,60.17933442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,left,1,0.4282,0,3,3,2,1,3,-200,left,750,2022-01-21_22h13.05.152,multiplicationStroop,2021.2.3,Win32,60.17933442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,right,1,0.3718,0,4,4,8,1,1,200,right,750,2022-01-21_22h13.05.152,multiplicationStroop,2021.2.3,Win32,60.17933442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,right,1,0.3522,0,5,5,9,1,2,200,right,750,2022-01-21_22h13.05.152,multiplicationStroop,2021.2.3,Win32,60.17933442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,left,1,0.4494,0,6,6,6,1,8,-200,left,750,2022-01-21_22h13.05.152,multiplicationStroop,2021.2.3,Win32,60.17933442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,left,1,0.3591,0,7,7,3,1,4,-200,left,750,2022-01-21_22h13.05.152,multiplicationStroop,2021.2.3,Win32,60.17933442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,left,1,0.5845,0,8,8,7,1,9,-200,left,750,2022-01-21_22h13.05.152,multiplicationStroop,2021.2.3,Win32,60.17933442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,right,1,0.4232,0,9,9,12,1,6,200,right,750,2022-01-21_22h13.05.152,multiplicationStroop,2021.2.3,Win32,60.17933442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,left,1,0.3626,0,10,10,1,1,2,-200,left,750,2022-01-21_22h13.05.152,multiplicationStroop,2021.2.3,Win32,60.17933442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,right,1,0.3514,0,11,11,13,1,7,200,right,750,2022-01-21_22h13.05.152,multiplicationStroop,2021.2.3,Win32,60.17933442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,left,1,0.3164,0,12,12,0,1,1,-200,left,750,2022-01-21_22h13.05.152,multiplicationStroop,2021.2.3,Win32,60.17933442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,left,1,0.3665,0,13,13,4,1,6,-200,left,750,2022-01-21_22h13.05.152,multiplicationStroop,2021.2.3,Win32,60.17933442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,right,1,0.329,0,14,14,14,1,8,200,right,750,2022-01-21_22h13.05.152,multiplicationStroop,2021.2.3,Win32,60.17933442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,right,1,0.4467,0,15,15,11,1,4,200,right,750,2022-01-21_22h13.05.152,multiplicationStroop,2021.2.3,Win32,60.17933442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,right,1,0.3291,1,0,16,13,1,7,200,right,750,2022-01-21_22h13.05.152,multiplicationStroop,2021.2.3,Win32,60.17933442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,left,1,0.3314,1,1,17,6,1,8,-200,left,750,2022-01-21_22h13.05.152,multiplicationStroop,2021.2.3,Win32,60.17933442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,left,1,0.3376,1,2,18,7,1,9,-200,left,750,2022-01-21_22h13.05.152,multiplicationStroop,2021.2.3,Win32,60.17933442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,right,1,0.297,1,3,19,9,1,2,200,right,750,2022-01-21_22h13.05.152,multiplicationStroop,2021.2.3,Win32,60.17933442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,right,1,0.3629,1,4,20,10,1,3,200,right,750,2022-01-21_22h13.05.152,multiplicationStroop,2021.2.3,Win32,60.17933442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
