windowSize,welcomeResp.keys,welcomeResp.rt,typingInstr_resp.keys,typingInstr_resp.rt,TypedAnswer1,typingRT1,typingCorr,roundNo.thisRepN,roundNo.thisTrialN,roundNo.thisN,roundNo.thisIndex,roundNo.ran,typedStimulus,participant,date,expName,psychopyVersion,OS,frameRate,typingTrials.thisRepN,typingTrials.thisTrialN,typingTrials.thisN,typingTrials.thisIndex,typingTrials.ran,typingStimulusFile,roundNo,trialIstr_resp.keys,trialIstr_resp.rt,TypT_answer,typingRT,multiplyCorr,trials_presentation.thisRepN,trials_presentation.thisTrialN,trials_presentation.thisN,trials_presentation.thisIndex,trials_presentation.ran,problem,answers,exitkey_resp.keys,exitkey_resp.rt
"[1536,722]",space,35.4061,space,3.5241,10,1.4301,1,0,0,0,4,1,10,782,2022-01-19_10h07.07.286,timed_fluency,2021.2.3,Win32,61.44393241,,,,,,,,,,,,,,,,,,,,,
,,,,,4,0.9954,1,0,1,1,0,1,4,782,2022-01-19_10h07.07.286,timed_fluency,2021.2.3,Win32,61.44393241,,,,,,,,,,,,,,,,,,,,,
,,,,,49,2.2154,1,0,2,2,24,1,49,782,2022-01-19_10h07.07.286,timed_fluency,2021.2.3,Win32,61.44393241,,,,,,,,,,,,,,,,,,,,,
,,,,,8,1.2649,1,0,3,3,2,1,8,782,2022-01-19_10h07.07.286,timed_fluency,2021.2.3,Win32,61.44393241,,,,,,,,,,,,,,,,,,,,,
,,,,,12,1.1821,1,0,4,4,5,1,12,782,2022-01-19_10h07.07.286,timed_fluency,2021.2.3,Win32,61.44393241,,,,,,,,,,,,,,,,,,,,,
,,,,,16,1.1821,1,0,5,5,8,1,16,782,2022-01-19_10h07.07.286,timed_fluency,2021.2.3,Win32,61.44393241,,,,,,,,,,,,,,,,,,,,,
,,,,,32,1.1649,1,0,6,6,17,1,32,782,2022-01-19_10h07.07.286,timed_fluency,2021.2.3,Win32,61.44393241,,,,,,,,,,,,,,,,,,,,,
,,,,,40,1.316,1,0,7,7,20,1,40,782,2022-01-19_10h07.07.286,timed_fluency,2021.2.3,Win32,61.44393241,,,,,,,,,,,,,,,,,,,,,
,,,,,56,1.3148,1,0,8,8,26,1,56,782,2022-01-19_10h07.07.286,timed_fluency,2021.2.3,Win32,61.44393241,,,,,,,,,,,,,,,,,,,,,
,,,,,28,1.2825,1,0,9,9,15,1,28,782,2022-01-19_10h07.07.286,timed_fluency,2021.2.3,Win32,61.44393241,,,,,,,,,,,,,,,,,,,,,
,,,,,45,1.1531,1,0,10,10,22,1,45,782,2022-01-19_10h07.07.286,timed_fluency,2021.2.3,Win32,61.44393241,,,,,,,,,,,,,,,,,,,,,
