windowSize,welcomeResp.keys,welcomeResp.rt,typingInstr_resp.keys,typingInstr_resp.rt,TypedAnswer1,typingRT1,typingCorr,roundNo.thisRepN,roundNo.thisTrialN,roundNo.thisN,roundNo.thisIndex,roundNo.ran,typedStimulus,participant,date,expName,psychopyVersion,OS,frameRate,typingTrials.thisRepN,typingTrials.thisTrialN,typingTrials.thisN,typingTrials.thisIndex,typingTrials.ran,typingStimulusFile,roundNo,trialIstr_resp.keys,trialIstr_resp.rt,TypT_answer,typingRT,multiplyCorr,trials_presentation.thisRepN,trials_presentation.thisTrialN,trials_presentation.thisN,trials_presentation.thisIndex,trials_presentation.ran,problem,answers,exitkey_resp.keys,exitkey_resp.rt
"[1280,569]",space,26.6828,space,12.087,9,2.4966,1,0,0,0,3,1,9,7852,2022-02-25_18h49.13.760,timed_fluency,2021.2.3,Win32,59.94485074,,,,,,,,,,,,,,,,,,,,,
,,,,,20,1.8984,1,0,1,1,10,1,20,7852,2022-02-25_18h49.13.760,timed_fluency,2021.2.3,Win32,59.94485074,,,,,,,,,,,,,,,,,,,,,
,,,,,21,1.516,1,0,2,2,11,1,21,7852,2022-02-25_18h49.13.760,timed_fluency,2021.2.3,Win32,59.94485074,,,,,,,,,,,,,,,,,,,,,
,,,,,42,1.6003,1,0,3,3,21,1,42,7852,2022-02-25_18h49.13.760,timed_fluency,2021.2.3,Win32,59.94485074,,,,,,,,,,,,,,,,,,,,,
,,,,,10,1.9985,1,0,4,4,4,1,10,7852,2022-02-25_18h49.13.760,timed_fluency,2021.2.3,Win32,59.94485074,,,,,,,,,,,,,,,,,,,,,
,,,,,18,1.6995,1,0,5,5,9,1,18,7852,2022-02-25_18h49.13.760,timed_fluency,2021.2.3,Win32,59.94485074,,,,,,,,,,,,,,,,,,,,,
,,,,,36,2.1497,1,0,6,6,19,1,36,7852,2022-02-25_18h49.13.760,timed_fluency,2021.2.3,Win32,59.94485074,,,,,,,,,,,,,,,,,,,,,
,,,,,8,1.6317,1,0,7,7,2,1,8,7852,2022-02-25_18h49.13.760,timed_fluency,2021.2.3,Win32,59.94485074,,,,,,,,,,,,,,,,,,,,,
,,,,,12,1.4329,1,0,8,8,5,1,12,7852,2022-02-25_18h49.13.760,timed_fluency,2021.2.3,Win32,59.94485074,,,,,,,,,,,,,,,,,,,,,
,,,,,30,1.7829,1,0,9,9,16,1,30,7852,2022-02-25_18h49.13.760,timed_fluency,2021.2.3,Win32,59.94485074,,,,,,,,,,,,,,,,,,,,,
,,,,,24,1.6493,1,0,10,10,12,1,24,7852,2022-02-25_18h49.13.760,timed_fluency,2021.2.3,Win32,59.94485074,,,,,,,,,,,,,,,,,,,,,
,,,,,54,1.651,1,0,11,11,25,1,54,7852,2022-02-25_18h49.13.760,timed_fluency,2021.2.3,Win32,59.94485074,,,,,,,,,,,,,,,,,,,,,
,,,,,49,2.0315,1,0,12,12,24,1,49,7852,2022-02-25_18h49.13.760,timed_fluency,2021.2.3,Win32,59.94485074,,,,,,,,,,,,,,,,,,,,,
,,,,,45,1.5824,1,0,13,13,22,1,45,7852,2022-02-25_18h49.13.760,timed_fluency,2021.2.3,Win32,59.94485074,,,,,,,,,,,,,,,,,,,,,
,,,,,32,1.6833,1,0,14,14,17,1,32,7852,2022-02-25_18h49.13.760,timed_fluency,2021.2.3,Win32,59.94485074,,,,,,,,,,,,,,,,,,,,,
,,,,,27,1.6827,1,0,15,15,14,1,27,7852,2022-02-25_18h49.13.760,timed_fluency,2021.2.3,Win32,59.94485074,,,,,,,,,,,,,,,,,,,,,
,,,,,14,1.5661,1,0,16,16,6,1,14,7852,2022-02-25_18h49.13.760,timed_fluency,2021.2.3,Win32,59.94485074,,,,,,,,,,,,,,,,,,,,,
,,,,,16,1.6332,1,0,17,17,8,1,16,7852,2022-02-25_18h49.13.760,timed_fluency,2021.2.3,Win32,59.94485074,,,,,,,,,,,,,,,,,,,,,
,,,,,72,1.9658,1,0,18,18,29,1,72,7852,2022-02-25_18h49.13.760,timed_fluency,2021.2.3,Win32,59.94485074,,,,,,,,,,,,,,,,,,,,,
,,,,,4,1.433,1,0,19,19,0,1,4,7852,2022-02-25_18h49.13.760,timed_fluency,2021.2.3,Win32,59.94485074,,,,,,,,,,,,,,,,,,,,,
,,,,,25,1.6506,1,0,20,20,13,1,25,7852,2022-02-25_18h49.13.760,timed_fluency,2021.2.3,Win32,59.94485074,,,,,,,,,,,,,,,,,,,,,
,,,,,6,1.7316,1,0,21,21,1,1,6,7852,2022-02-25_18h49.13.760,timed_fluency,2021.2.3,Win32,59.94485074,,,,,,,,,,,,,,,,,,,,,
,,,,,64,2.2162,1,0,22,22,28,1,64,7852,2022-02-25_18h49.13.760,timed_fluency,2021.2.3,Win32,59.94485074,,,,,,,,,,,,,,,,,,,,,
,,,,,81,1.968,1,0,23,23,30,1,81,7852,2022-02-25_18h49.13.760,timed_fluency,2021.2.3,Win32,59.94485074,,,,,,,,,,,,,,,,,,,,,
,,,,,28,1.8976,1,0,24,24,15,1,28,7852,2022-02-25_18h49.13.760,timed_fluency,2021.2.3,Win32,59.94485074,,,,,,,,,,,,,,,,,,,,,
,,,,,40,1.8494,1,0,25,25,20,1,40,7852,2022-02-25_18h49.13.760,timed_fluency,2021.2.3,Win32,59.94485074,,,,,,,,,,,,,,,,,,,,,
,,,,,15,1.8493,1,0,26,26,7,1,15,7852,2022-02-25_18h49.13.760,timed_fluency,2021.2.3,Win32,59.94485074,,,,,,,,,,,,,,,,,,,,,
,,,,,63,3.3828,1,0,27,27,27,1,63,7852,2022-02-25_18h49.13.760,timed_fluency,2021.2.3,Win32,59.94485074,,,,,,,,,,,,,,,,,,,,,
,,,,,48,1.8919,1,0,28,28,23,1,48,7852,2022-02-25_18h49.13.760,timed_fluency,2021.2.3,Win32,59.94485074,,,,,,,,,,,,,,,,,,,,,
,,,,,56,1.6995,1,0,29,29,26,1,56,7852,2022-02-25_18h49.13.760,timed_fluency,2021.2.3,Win32,59.94485074,,,,,,,,,,,,,,,,,,,,,
,,,,,35,1.7324,1,0,30,30,18,1,35,7852,2022-02-25_18h49.13.760,timed_fluency,2021.2.3,Win32,59.94485074,,,,,,,,,,,,,,,,,,,,,
