windowSize,welcomeResp.keys,welcomeResp.rt,typingInstr_resp.keys,typingInstr_resp.rt,TypedAnswer1,typingRT1,typingCorr,roundNo.thisRepN,roundNo.thisTrialN,roundNo.thisN,roundNo.thisIndex,roundNo.ran,typedStimulus,participant,date,expName,psychopyVersion,OS,frameRate,typingTrials.thisRepN,typingTrials.thisTrialN,typingTrials.thisN,typingTrials.thisIndex,typingTrials.ran,typingStimulusFile,roundNo,trialIstr_resp.keys,trialIstr_resp.rt,TypT_answer,typingRT,multiplyCorr,trials_presentation.thisRepN,trials_presentation.thisTrialN,trials_presentation.thisN,trials_presentation.thisIndex,trials_presentation.ran,problem,answers,exitkey_resp.keys,exitkey_resp.rt
"[1280,569]",space,9.9447,space,7.9576,32,3.3729,1,0,0,0,17,1,32,759,2022-01-21_24h58.40.213,timed_fluency,2021.2.3,Win32,60.0348202,,,,,,,,,,,,,,,,,,,,,
,,,,,9,1.6786,1,0,1,1,3,1,9,759,2022-01-21_24h58.40.213,timed_fluency,2021.2.3,Win32,60.0348202,,,,,,,,,,,,,,,,,,,,,
,,,,,18,1.8807,1,0,2,2,9,1,18,759,2022-01-21_24h58.40.213,timed_fluency,2021.2.3,Win32,60.0348202,,,,,,,,,,,,,,,,,,,,,
,,,,,4,1.464,1,0,3,3,0,1,4,759,2022-01-21_24h58.40.213,timed_fluency,2021.2.3,Win32,60.0348202,,,,,,,,,,,,,,,,,,,,,
,,,,,10,1.5469,1,0,4,4,4,1,10,759,2022-01-21_24h58.40.213,timed_fluency,2021.2.3,Win32,60.0348202,,,,,,,,,,,,,,,,,,,,,
,,,,,54,1.3974,1,0,5,5,25,1,54,759,2022-01-21_24h58.40.213,timed_fluency,2021.2.3,Win32,60.0348202,,,,,,,,,,,,,,,,,,,,,
,,,,,56,1.4304,1,0,6,6,26,1,56,759,2022-01-21_24h58.40.213,timed_fluency,2021.2.3,Win32,60.0348202,,,,,,,,,,,,,,,,,,,,,
,,,,,40,1.5806,1,0,7,7,20,1,40,759,2022-01-21_24h58.40.213,timed_fluency,2021.2.3,Win32,60.0348202,,,,,,,,,,,,,,,,,,,,,
,,,,,49,1.8805,1,0,8,8,24,1,49,759,2022-01-21_24h58.40.213,timed_fluency,2021.2.3,Win32,60.0348202,,,,,,,,,,,,,,,,,,,,,
,,,,,27,2.0811,1,0,9,9,14,1,27,759,2022-01-21_24h58.40.213,timed_fluency,2021.2.3,Win32,60.0348202,,,,,,,,,,,,,,,,,,,,,
,,,,,42,1.7299,1,0,10,10,21,1,42,759,2022-01-21_24h58.40.213,timed_fluency,2021.2.3,Win32,60.0348202,,,,,,,,,,,,,,,,,,,,,
,,,,,45,1.9476,1,0,11,11,22,1,45,759,2022-01-21_24h58.40.213,timed_fluency,2021.2.3,Win32,60.0348202,,,,,,,,,,,,,,,,,,,,,
,,,,,15,1.6971,1,0,12,12,7,1,15,759,2022-01-21_24h58.40.213,timed_fluency,2021.2.3,Win32,60.0348202,,,,,,,,,,,,,,,,,,,,,
,,,,,21,1.58,1,0,13,13,11,1,21,759,2022-01-21_24h58.40.213,timed_fluency,2021.2.3,Win32,60.0348202,,,,,,,,,,,,,,,,,,,,,
,,,,,63,1.781,1,0,14,14,27,1,63,759,2022-01-21_24h58.40.213,timed_fluency,2021.2.3,Win32,60.0348202,,,,,,,,,,,,,,,,,,,,,
