windowSize,welcomeResp.keys,welcomeResp.rt,typingInstr_resp.keys,typingInstr_resp.rt,TypedAnswer1,typingRT1,typingCorr,roundNo.thisRepN,roundNo.thisTrialN,roundNo.thisN,roundNo.thisIndex,roundNo.ran,typedStimulus,participant,date,expName,psychopyVersion,OS,frameRate,typingTrials.thisRepN,typingTrials.thisTrialN,typingTrials.thisN,typingTrials.thisIndex,typingTrials.ran,typingStimulusFile,roundNo,trialIstr_resp.keys,trialIstr_resp.rt,TypT_answer,typingRT,multiplyCorr,trials_presentation.thisRepN,trials_presentation.thisTrialN,trials_presentation.thisN,trials_presentation.thisIndex,trials_presentation.ran,problem,answers,exitkey_resp.keys,exitkey_resp.rt
"[1366,657]",space,7.7103,space,9.7441,81,4.5013,1,0,0,0,30,1,81,736,2022-01-25_08h56.09.499,timed_fluency,2021.2.3,Win32,60.23370678,,,,,,,,,,,,,,,,,,,,,
,,,,,15,1.4939,0,0,1,1,6,1,14,736,2022-01-25_08h56.09.499,timed_fluency,2021.2.3,Win32,60.23370678,,,,,,,,,,,,,,,,,,,,,
,,,,,21,1.3189,1,0,2,2,11,1,21,736,2022-01-25_08h56.09.499,timed_fluency,2021.2.3,Win32,60.23370678,,,,,,,,,,,,,,,,,,,,,
,,,,,28,1.4212,1,0,3,3,15,1,28,736,2022-01-25_08h56.09.499,timed_fluency,2021.2.3,Win32,60.23370678,,,,,,,,,,,,,,,,,,,,,
,,,,,25,1.4379,1,0,4,4,13,1,25,736,2022-01-25_08h56.09.499,timed_fluency,2021.2.3,Win32,60.23370678,,,,,,,,,,,,,,,,,,,,,
,,,,,72,1.8059,1,0,5,5,29,1,72,736,2022-01-25_08h56.09.499,timed_fluency,2021.2.3,Win32,60.23370678,,,,,,,,,,,,,,,,,,,,,
,,,,,8,1.5032,1,0,6,6,2,1,8,736,2022-01-25_08h56.09.499,timed_fluency,2021.2.3,Win32,60.23370678,,,,,,,,,,,,,,,,,,,,,
,,,,,15,1.2871,1,0,7,7,7,1,15,736,2022-01-25_08h56.09.499,timed_fluency,2021.2.3,Win32,60.23370678,,,,,,,,,,,,,,,,,,,,,
,,,,,64,1.7224,1,0,8,8,28,1,64,736,2022-01-25_08h56.09.499,timed_fluency,2021.2.3,Win32,60.23370678,,,,,,,,,,,,,,,,,,,,,
,,,,,35,1.4047,1,0,9,9,18,1,35,736,2022-01-25_08h56.09.499,timed_fluency,2021.2.3,Win32,60.23370678,,,,,,,,,,,,,,,,,,,,,
,,,,,4,1.1856,1,0,10,10,0,1,4,736,2022-01-25_08h56.09.499,timed_fluency,2021.2.3,Win32,60.23370678,,,,,,,,,,,,,,,,,,,,,
,,,,,40,2.2567,1,0,11,11,20,1,40,736,2022-01-25_08h56.09.499,timed_fluency,2021.2.3,Win32,60.23370678,,,,,,,,,,,,,,,,,,,,,
,,,,,6,1.3549,1,0,12,12,1,1,6,736,2022-01-25_08h56.09.499,timed_fluency,2021.2.3,Win32,60.23370678,,,,,,,,,,,,,,,,,,,,,
,,,,,27,1.7051,1,0,13,13,14,1,27,736,2022-01-25_08h56.09.499,timed_fluency,2021.2.3,Win32,60.23370678,,,,,,,,,,,,,,,,,,,,,
,,,,,63,1.7053,1,0,14,14,27,1,63,736,2022-01-25_08h56.09.499,timed_fluency,2021.2.3,Win32,60.23370678,,,,,,,,,,,,,,,,,,,,,
,,,,,54,1.47,1,0,15,15,25,1,54,736,2022-01-25_08h56.09.499,timed_fluency,2021.2.3,Win32,60.23370678,,,,,,,,,,,,,,,,,,,,,
,,,,,9,1.2869,1,0,16,16,3,1,9,736,2022-01-25_08h56.09.499,timed_fluency,2021.2.3,Win32,60.23370678,,,,,,,,,,,,,,,,,,,,,
,,,,,42,1.5724,1,0,17,17,21,1,42,736,2022-01-25_08h56.09.499,timed_fluency,2021.2.3,Win32,60.23370678,,,,,,,,,,,,,,,,,,,,,
,,,,,18,1.5717,1,0,18,18,9,1,18,736,2022-01-25_08h56.09.499,timed_fluency,2021.2.3,Win32,60.23370678,,,,,,,,,,,,,,,,,,,,,
,,,,,12,1.1539,1,0,19,19,5,1,12,736,2022-01-25_08h56.09.499,timed_fluency,2021.2.3,Win32,60.23370678,,,,,,,,,,,,,,,,,,,,,
,,,,,16,1.4027,1,0,20,20,8,1,16,736,2022-01-25_08h56.09.499,timed_fluency,2021.2.3,Win32,60.23370678,,,,,,,,,,,,,,,,,,,,,
,,,,,49,2.5589,1,0,21,21,24,1,49,736,2022-01-25_08h56.09.499,timed_fluency,2021.2.3,Win32,60.23370678,,,,,,,,,,,,,,,,,,,,,
,,,,,20,1.4281,1,0,22,22,10,1,20,736,2022-01-25_08h56.09.499,timed_fluency,2021.2.3,Win32,60.23370678,,,,,,,,,,,,,,,,,,,,,
,,,,,36,1.5214,1,0,23,23,19,1,36,736,2022-01-25_08h56.09.499,timed_fluency,2021.2.3,Win32,60.23370678,,,,,,,,,,,,,,,,,,,,,
