windowSize,welcomeResp.keys,welcomeResp.rt,typingInstr_resp.keys,typingInstr_resp.rt,TypedAnswer1,typingRT1,typingCorr,roundNo.thisRepN,roundNo.thisTrialN,roundNo.thisN,roundNo.thisIndex,roundNo.ran,typedStimulus,participant,date,expName,psychopyVersion,OS,frameRate,typingTrials.thisRepN,typingTrials.thisTrialN,typingTrials.thisN,typingTrials.thisIndex,typingTrials.ran,typingStimulusFile,roundNo,trialIstr_resp.keys,trialIstr_resp.rt,TypT_answer,typingRT,multiplyCorr,trials_presentation.thisRepN,trials_presentation.thisTrialN,trials_presentation.thisN,trials_presentation.thisIndex,trials_presentation.ran,problem,answers,exitkey_resp.keys,exitkey_resp.rt
"[1536,792]",space,11.1,space,10.3597,45,3.8229,1,0,0,0,22,1,45,805,2022-01-20_09h27.35.940,timed_fluency,2021.2.3,Win32,61.13590512,,,,,,,,,,,,,,,,,,,,,
,,,,,36,2.2945,1,0,1,1,19,1,36,805,2022-01-20_09h27.35.940,timed_fluency,2021.2.3,Win32,61.13590512,,,,,,,,,,,,,,,,,,,,,
,,,,,64,2.2961,1,0,2,2,28,1,64,805,2022-01-20_09h27.35.940,timed_fluency,2021.2.3,Win32,61.13590512,,,,,,,,,,,,,,,,,,,,,
,,,,,32,3.9452,1,0,3,3,17,1,32,805,2022-01-20_09h27.35.940,timed_fluency,2021.2.3,Win32,61.13590512,,,,,,,,,,,,,,,,,,,,,
,,,,,18,2.2422,1,0,4,4,9,1,18,805,2022-01-20_09h27.35.940,timed_fluency,2021.2.3,Win32,61.13590512,,,,,,,,,,,,,,,,,,,,,
,,,,,15,1.8972,1,0,5,5,7,1,15,805,2022-01-20_09h27.35.940,timed_fluency,2021.2.3,Win32,61.13590512,,,,,,,,,,,,,,,,,,,,,
,,,,,49,2.2463,1,0,6,6,24,1,49,805,2022-01-20_09h27.35.940,timed_fluency,2021.2.3,Win32,61.13590512,,,,,,,,,,,,,,,,,,,,,
,,,,,54,1.9139,1,0,7,7,25,1,54,805,2022-01-20_09h27.35.940,timed_fluency,2021.2.3,Win32,61.13590512,,,,,,,,,,,,,,,,,,,,,
,,,,,42,2.23,1,0,8,8,21,1,42,805,2022-01-20_09h27.35.940,timed_fluency,2021.2.3,Win32,61.13590512,,,,,,,,,,,,,,,,,,,,,
,,,,,10,2.0143,1,0,9,9,4,1,10,805,2022-01-20_09h27.35.940,timed_fluency,2021.2.3,Win32,61.13590512,,,,,,,,,,,,,,,,,,,,,
,,,,,63,2.3288,1,0,10,10,27,1,63,805,2022-01-20_09h27.35.940,timed_fluency,2021.2.3,Win32,61.13590512,,,,,,,,,,,,,,,,,,,,,
,,,,,20,1.9088,1,0,11,11,10,1,20,805,2022-01-20_09h27.35.940,timed_fluency,2021.2.3,Win32,61.13590512,,,,,,,,,,,,,,,,,,,,,
,,,,,35,2.0135,1,0,12,12,18,1,35,805,2022-01-20_09h27.35.940,timed_fluency,2021.2.3,Win32,61.13590512,,,,,,,,,,,,,,,,,,,,,
,,,,,9,1.6971,1,0,13,13,3,1,9,805,2022-01-20_09h27.35.940,timed_fluency,2021.2.3,Win32,61.13590512,,,,,,,,,,,,,,,,,,,,,
,,,,,48,2.0299,1,0,14,14,23,1,48,805,2022-01-20_09h27.35.940,timed_fluency,2021.2.3,Win32,61.13590512,,,,,,,,,,,,,,,,,,,,,
,,,,,40,1.9143,1,0,15,15,20,1,40,805,2022-01-20_09h27.35.940,timed_fluency,2021.2.3,Win32,61.13590512,,,,,,,,,,,,,,,,,,,,,
,,,,,16,1.8978,1,0,16,16,8,1,16,805,2022-01-20_09h27.35.940,timed_fluency,2021.2.3,Win32,61.13590512,,,,,,,,,,,,,,,,,,,,,
,,,,,4,1.5478,1,0,17,17,0,1,4,805,2022-01-20_09h27.35.940,timed_fluency,2021.2.3,Win32,61.13590512,,,,,,,,,,,,,,,,,,,,,
