windowSize,welcomeResp.keys,welcomeResp.rt,typingInstr_resp.keys,typingInstr_resp.rt,TypedAnswer1,typingRT1,typingCorr,roundNo.thisRepN,roundNo.thisTrialN,roundNo.thisN,roundNo.thisIndex,roundNo.ran,typedStimulus,participant,date,expName,psychopyVersion,OS,frameRate,typingTrials.thisRepN,typingTrials.thisTrialN,typingTrials.thisN,typingTrials.thisIndex,typingTrials.ran,typingStimulusFile,roundNo,trialIstr_resp.keys,trialIstr_resp.rt,TypT_answer,typingRT,multiplyCorr,trials_presentation.thisRepN,trials_presentation.thisTrialN,trials_presentation.thisN,trials_presentation.thisIndex,trials_presentation.ran,problem,answers,exitkey_resp.keys,exitkey_resp.rt
"[1536,731]",space,14.5484,space,13.844,6,2.2931,1,0,0,0,1,1,6,762,2022-01-18_14h57.43.212,timed_fluency,2021.2.3,Win32,72.23345854,,,,,,,,,,,,,,,,,,,,,
,,,,,28,1.7869,1,0,1,1,15,1,28,762,2022-01-18_14h57.43.212,timed_fluency,2021.2.3,Win32,72.23345854,,,,,,,,,,,,,,,,,,,,,
,,,,,21,1.2176,1,0,2,2,11,1,21,762,2022-01-18_14h57.43.212,timed_fluency,2021.2.3,Win32,72.23345854,,,,,,,,,,,,,,,,,,,,,
,,,,,25,1.1379,1,0,3,3,13,1,25,762,2022-01-18_14h57.43.212,timed_fluency,2021.2.3,Win32,72.23345854,,,,,,,,,,,,,,,,,,,,,
,,,,,56,1.406,1,0,4,4,26,1,56,762,2022-01-18_14h57.43.212,timed_fluency,2021.2.3,Win32,72.23345854,,,,,,,,,,,,,,,,,,,,,
,,,,,48,1.6231,1,0,5,5,23,1,48,762,2022-01-18_14h57.43.212,timed_fluency,2021.2.3,Win32,72.23345854,,,,,,,,,,,,,,,,,,,,,
,,,,,42,1.3012,1,0,6,6,21,1,42,762,2022-01-18_14h57.43.212,timed_fluency,2021.2.3,Win32,72.23345854,,,,,,,,,,,,,,,,,,,,,
,,,,,14,1.2838,1,0,7,7,6,1,14,762,2022-01-18_14h57.43.212,timed_fluency,2021.2.3,Win32,72.23345854,,,,,,,,,,,,,,,,,,,,,
,,,,,72,1.5819,1,0,8,8,29,1,72,762,2022-01-18_14h57.43.212,timed_fluency,2021.2.3,Win32,72.23345854,,,,,,,,,,,,,,,,,,,,,
,,,,,81,1.4192,1,0,9,9,30,1,81,762,2022-01-18_14h57.43.212,timed_fluency,2021.2.3,Win32,72.23345854,,,,,,,,,,,,,,,,,,,,,
