windowSize,welcomeResp.keys,welcomeResp.rt,typingInstr_resp.keys,typingInstr_resp.rt,TypedAnswer1,typingRT1,typingCorr,roundNo.thisRepN,roundNo.thisTrialN,roundNo.thisN,roundNo.thisIndex,roundNo.ran,typedStimulus,participant,date,expName,psychopyVersion,OS,frameRate,typingTrials.thisRepN,typingTrials.thisTrialN,typingTrials.thisN,typingTrials.thisIndex,typingTrials.ran,typingStimulusFile,roundNo,trialIstr_resp.keys,trialIstr_resp.rt,TypT_answer,typingRT,multiplyCorr,trials_presentation.thisRepN,trials_presentation.thisTrialN,trials_presentation.thisN,trials_presentation.thisIndex,trials_presentation.ran,problem,answers,exitkey_resp.keys,exitkey_resp.rt
"[1920,937]",space,15.5215,space,12.4,10,2.0038,1,0,0,0,4,1,10,8014,2022-02-14_16h15.24.521,timed_fluency,2021.2.3,Win32,49.46087645,,,,,,,,,,,,,,,,,,,,,
,,,,,28,1.7796,1,0,1,1,15,1,28,8014,2022-02-14_16h15.24.521,timed_fluency,2021.2.3,Win32,49.46087645,,,,,,,,,,,,,,,,,,,,,
,,,,,35,2.0994,1,0,2,2,18,1,35,8014,2022-02-14_16h15.24.521,timed_fluency,2021.2.3,Win32,49.46087645,,,,,,,,,,,,,,,,,,,,,
,,,,,36,1.7994,1,0,3,3,19,1,36,8014,2022-02-14_16h15.24.521,timed_fluency,2021.2.3,Win32,49.46087645,,,,,,,,,,,,,,,,,,,,,
,,,,,81,1.4194,1,0,4,4,30,1,81,8014,2022-02-14_16h15.24.521,timed_fluency,2021.2.3,Win32,49.46087645,,,,,,,,,,,,,,,,,,,,,
,,,,,64,1.5397,1,0,5,5,28,1,64,8014,2022-02-14_16h15.24.521,timed_fluency,2021.2.3,Win32,49.46087645,,,,,,,,,,,,,,,,,,,,,
,,,,,40,1.3995,1,0,6,6,20,1,40,8014,2022-02-14_16h15.24.521,timed_fluency,2021.2.3,Win32,49.46087645,,,,,,,,,,,,,,,,,,,,,
,,,,,54,1.5393,1,0,7,7,25,1,54,8014,2022-02-14_16h15.24.521,timed_fluency,2021.2.3,Win32,49.46087645,,,,,,,,,,,,,,,,,,,,,
,,,,,6,1.2798,1,0,8,8,1,1,6,8014,2022-02-14_16h15.24.521,timed_fluency,2021.2.3,Win32,49.46087645,,,,,,,,,,,,,,,,,,,,,
,,,,,49,1.6193,1,0,9,9,24,1,49,8014,2022-02-14_16h15.24.521,timed_fluency,2021.2.3,Win32,49.46087645,,,,,,,,,,,,,,,,,,,,,
