windowSize,welcomeResp.keys,welcomeResp.rt,typingInstr_resp.keys,typingInstr_resp.rt,TypedAnswer1,typingRT1,typingCorr,roundNo.thisRepN,roundNo.thisTrialN,roundNo.thisN,roundNo.thisIndex,roundNo.ran,typedStimulus,participant,date,expName,psychopyVersion,OS,frameRate,typingTrials.thisRepN,typingTrials.thisTrialN,typingTrials.thisN,typingTrials.thisIndex,typingTrials.ran,typingStimulusFile,roundNo,trialIstr_resp.keys,trialIstr_resp.rt,TypT_answer,typingRT,multiplyCorr,trials_presentation.thisRepN,trials_presentation.thisTrialN,trials_presentation.thisN,trials_presentation.thisIndex,trials_presentation.ran,problem,answers,exitkey_resp.keys,exitkey_resp.rt
"[1440,728]",space,13.1958,space,8.9845,25,3.5494,1,0,0,0,13,1,25,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,48,1.6808,1,0,1,1,23,1,48,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,45,1.3659,1,0,2,2,22,1,45,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,10,0.9994,1,0,3,3,4,1,10,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,21,1.0343,1,0,4,4,11,1,21,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,27,1.2476,1,0,5,5,14,1,27,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,16,1.4331,1,0,6,6,8,1,16,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,54,1.698,1,0,7,7,25,1,54,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,20,1.2501,1,0,8,8,10,1,20,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,12,1.4,1,0,9,9,5,1,12,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,35,1.5643,1,0,10,10,18,1,35,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,9,1.3157,1,0,11,11,3,1,9,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,18,1.433,1,0,12,12,9,1,18,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,81,1.2489,1,0,13,13,30,1,81,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,14,1.2835,1,0,14,14,6,1,14,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,64,1.382,1,0,15,15,28,1,64,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,28,1.3337,1,0,16,16,15,1,28,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,6,1.5146,1,0,17,17,1,1,6,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,8,2.3669,1,0,18,18,2,1,8,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,36,1.7982,1,0,19,19,19,1,36,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,30,1.1844,1,0,20,20,16,1,30,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,63,1.4482,1,0,21,21,27,1,63,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,49,1.4265,1,0,22,22,24,1,49,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,42,1.5733,1,0,23,23,21,1,42,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,24,1.6815,1,0,24,24,12,1,24,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,40,1.3835,1,0,25,25,20,1,40,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,32,1.1653,1,0,26,26,17,1,32,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,56,1.3331,1,0,27,27,26,1,56,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,4,1.0996,1,0,28,28,0,1,4,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,15,1.1989,1,0,29,29,7,1,15,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,72,1.4004,1,0,30,30,29,1,72,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,0,0,0,0,1,typing.xlsx,1,,,,,,,,,,,,,,
,,,,,42,1.7039,1,0,0,0,21,1,42,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,14,1.216,1,0,1,1,6,1,14,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,81,1.1657,1,0,2,2,30,1,81,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,27,1.1158,1,0,3,3,14,1,27,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,6,1.4659,1,0,4,4,1,1,6,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,9,1.0497,1,0,5,5,3,1,9,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,64,1.4986,1,0,6,6,28,1,64,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,10,1.0166,1,0,7,7,4,1,10,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,48,1.5486,1,0,8,8,23,1,48,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,35,1.5336,1,0,9,9,18,1,35,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,30,1.2323,1,0,10,10,16,1,30,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,12,1.0659,1,0,11,11,5,1,12,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,25,1.4318,1,0,12,12,13,1,25,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,18,1.4494,1,0,13,13,9,1,18,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,49,1.5003,1,0,14,14,24,1,49,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,4,1.1135,1,0,15,15,0,1,4,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,16,1.3176,1,0,16,16,8,1,16,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,72,1.3654,1,0,17,17,29,1,72,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,15,1.2654,1,0,18,18,7,1,15,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,54,1.2998,1,0,19,19,25,1,54,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,20,1.2,1,0,20,20,10,1,20,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,32,1.2973,1,0,21,21,17,1,32,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,36,1.5337,1,0,22,22,19,1,36,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,40,1.3663,1,0,23,23,20,1,40,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,63,1.2644,1,0,24,24,27,1,63,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,21,1.0995,1,0,25,25,11,1,21,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,56,1.2994,1,0,26,26,26,1,56,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,45,1.5497,1,0,27,27,22,1,45,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,8,1.5485,1,0,28,28,2,1,8,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,28,2.6165,1,0,29,29,15,1,28,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,24,1.7528,1,0,30,30,12,1,24,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,0,1,1,1,1,typing.xlsx,2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,space,7.9107,6,1.69,1,0,0,0,0,1,2 × 3 =,6,,
,,,,,,,,,,,,,,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,40,1.6964,1,0,1,1,1,1,5 × 8 =,40,,
,,,,,,,,,,,,,,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,12,1.3837,1,0,2,2,2,1,3 × 4 =,12,,
,,,,,,,,,,,,,,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,15,1.5985,1,0,3,3,3,1,5 × 3 =,15,,
,,,,,,,,,,,,,,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,8,1.5825,1,0,4,4,4,1,2 × 4 =,8,,
,,,,,,,,,,,,,,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,4,1.2321,1,0,5,5,5,1,2 × 2 =,4,,
,,,,,,,,,,,,,,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,20,1.3496,1,0,6,6,6,1,4 × 5 =,20,,
,,,,,,,,,,,,,,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,9,1.4507,1,0,7,7,7,1,3 × 3 =,9,,
,,,,,,,,,,,,,,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,10,1.165,1,0,8,8,8,1,5 × 2 =,10,,
,,,,,,,,,,,,,,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,16,1.4,1,0,9,9,9,1,4 × 4 =,16,,
,,,,,,,,,,,,,,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,24,1.6827,1,0,10,10,10,1,8 × 3 =,24,,
,,,,,,,,,,,,,,743,2022-01-19_23h58.45.448,timed_fluency,2021.2.3,MacIntel,60.0024001,,,,,,,,,,30,1.5324,1,0,11,11,11,1,6 × 5 =,30,,
