windowSize,welcomeResp.keys,welcomeResp.rt,typingInstr_resp.keys,typingInstr_resp.rt,TypedAnswer1,typingRT1,typingCorr,roundNo.thisRepN,roundNo.thisTrialN,roundNo.thisN,roundNo.thisIndex,roundNo.ran,typedStimulus,participant,date,expName,psychopyVersion,OS,frameRate,typingTrials.thisRepN,typingTrials.thisTrialN,typingTrials.thisN,typingTrials.thisIndex,typingTrials.ran,typingStimulusFile,roundNo,trialIstr_resp.keys,trialIstr_resp.rt,TypT_answer,typingRT,multiplyCorr,trials_presentation.thisRepN,trials_presentation.thisTrialN,trials_presentation.thisN,trials_presentation.thisIndex,trials_presentation.ran,problem,answers,exitkey_resp.keys,exitkey_resp.rt
"[1280,601]",space,16.6792,space,11.8533,15,3.0727,1,0,0,0,7,1,15,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,,,,,,,,,,,,
,,,,,6,1.4533,1,0,1,1,1,1,6,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,,,,,,,,,,,,
,,,,,36,1.6319,1,0,2,2,19,1,36,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,,,,,,,,,,,,
,,,,,42,1.4154,1,0,3,3,21,1,42,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,,,,,,,,,,,,
,,,,,48,1.8817,1,0,4,4,23,1,48,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,,,,,,,,,,,,
,,,,,18,1.6488,1,0,5,5,9,1,18,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,,,,,,,,,,,,
,,,,,40,1.7318,1,0,6,6,20,1,40,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,,,,,,,,,,,,
,,,,,20,1.3986,1,0,7,7,10,1,20,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,,,,,,,,,,,,
,,,,,16,1.4489,1,0,8,8,8,1,16,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,,,,,,,,,,,,
,,,,,8,1.9319,1,0,9,9,2,1,8,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,,,,,,,,,,,,
,,,,,63,1.782,1,0,10,10,27,1,63,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,,,,,,,,,,,,
,,,,,49,1.6988,1,0,11,11,24,1,49,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,,,,,,,,,,,,
,,,,,64,1.5988,1,0,12,12,28,1,64,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,,,,,,,,,,,,
,,,,,24,1.7652,1,0,13,13,12,1,24,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,,,,,,,,,,,,
,,,,,28,1.7322,1,0,14,14,15,1,28,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,,,,,,,,,,,,
,,,,,32,1.4157,1,0,15,15,17,1,32,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,,,,,,,,,,,,
,,,,,9,1.8988,1,0,16,16,3,1,9,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,,,,,,,,,,,,
,,,,,54,1.6653,1,0,17,17,25,1,54,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,,,,,,,,,,,,
,,,,,12,1.2155,1,0,18,18,5,1,12,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,,,,,,,,,,,,
,,,,,72,1.6325,1,0,19,19,29,1,72,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,,,,,,,,,,,,
,,,,,81,1.3487,1,0,20,20,30,1,81,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,,,,,,,,,,,,
,,,,,30,1.4822,1,0,21,21,16,1,30,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,,,,,,,,,,,,
,,,,,14,1.2322,1,0,22,22,6,1,14,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,,,,,,,,,,,,
,,,,,45,1.4656,1,0,23,23,22,1,45,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,,,,,,,,,,,,
,,,,,21,1.2656,1,0,24,24,11,1,21,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,,,,,,,,,,,,
,,,,,10,1.3823,1,0,25,25,4,1,10,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,,,,,,,,,,,,
,,,,,56,1.7319,1,0,26,26,26,1,56,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,,,,,,,,,,,,
,,,,,27,1.6823,1,0,27,27,14,1,27,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,,,,,,,,,,,,
,,,,,35,1.7489,1,0,28,28,18,1,35,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,,,,,,,,,,,,
,,,,,25,1.4155,1,0,29,29,13,1,25,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,,,,,,,,,,,,
,,,,,4,1.2325,1,0,30,30,0,1,4,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,0,0,0,0,1,typing.xlsx,1,,,,,,,,,,,,,,
,,,,,64,1.7773,1,0,0,0,28,1,64,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,,,,,,,,,,,,
,,,,,72,3.647,1,0,1,1,29,1,72,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,,,,,,,,,,,,
,,,,,56,1.6472,1,0,2,2,26,1,56,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,,,,,,,,,,,,
,,,,,28,1.5809,1,0,3,3,15,1,28,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,,,,,,,,,,,,
,,,,,4,1.0812,1,0,4,4,0,1,4,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,,,,,,,,,,,,
,,,,,12,1.1985,1,0,5,5,5,1,12,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,,,,,,,,,,,,
,,,,,15,1.2304,1,0,6,6,7,1,15,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,,,,,,,,,,,,
,,,,,32,1.3473,1,0,7,7,17,1,32,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,,,,,,,,,,,,
,,,,,14,1.2821,1,0,8,8,6,1,14,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,,,,,,,,,,,,
,,,,,42,1.5978,1,0,9,9,21,1,42,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,,,,,,,,,,,,
,,,,,24,1.4314,1,0,10,10,12,1,24,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,,,,,,,,,,,,
,,,,,18,1.4149,1,0,11,11,9,1,18,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,,,,,,,,,,,,
,,,,,25,1.6639,1,0,12,12,13,1,25,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,,,,,,,,,,,,
,,,,,30,1.5143,1,0,13,13,16,1,30,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,,,,,,,,,,,,
,,,,,40,1.3317,1,0,14,14,20,1,40,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,,,,,,,,,,,,
,,,,,36,1.5307,1,0,15,15,19,1,36,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,,,,,,,,,,,,
,,,,,6,1.3148,1,0,16,16,1,1,6,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,,,,,,,,,,,,
,,,,,20,1.3813,1,0,17,17,10,1,20,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,,,,,,,,,,,,
,,,,,49,1.6646,1,0,18,18,24,1,49,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,,,,,,,,,,,,
,,,,,54,1.5311,1,0,19,19,25,1,54,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,,,,,,,,,,,,
,,,,,8,1.599,1,0,20,20,2,1,8,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,,,,,,,,,,,,
,,,,,35,1.3972,1,0,21,21,18,1,35,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,,,,,,,,,,,,
,,,,,27,1.597,1,0,22,22,14,1,27,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,,,,,,,,,,,,
,,,,,10,1.2319,1,0,23,23,4,1,10,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,,,,,,,,,,,,
,,,,,9,1.8478,1,0,24,24,3,1,9,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,,,,,,,,,,,,
,,,,,21,1.198,1,0,25,25,11,1,21,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,,,,,,,,,,,,
,,,,,45,1.8314,1,0,26,26,22,1,45,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,,,,,,,,,,,,
,,,,,48,1.5306,1,0,27,27,23,1,48,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,,,,,,,,,,,,
,,,,,16,1.5479,1,0,28,28,8,1,16,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,,,,,,,,,,,,
,,,,,63,1.7487,1,0,29,29,27,1,63,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,,,,,,,,,,,,
,,,,,81,1.6488,1,0,30,30,30,1,81,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,0,1,1,1,1,typing.xlsx,2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,space,8.673,6,2.9531,1,0,0,0,0,1,2 × 3 =,6,,
,,,,,,,,,,,,,,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,40,1.9651,1,0,1,1,1,1,5 × 8 =,40,,
,,,,,,,,,,,,,,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,12,1.3485,1,0,2,2,2,1,3 × 4 =,12,,
,,,,,,,,,,,,,,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,15,1.4491,1,0,3,3,3,1,5 × 3 =,15,,
,,,,,,,,,,,,,,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,8,1.5655,1,0,4,4,4,1,2 × 4 =,8,,
,,,,,,,,,,,,,,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,4,1.3489,1,0,5,5,5,1,2 × 2 =,4,,
,,,,,,,,,,,,,,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,20,1.682,1,0,6,6,6,1,4 × 5 =,20,,
,,,,,,,,,,,,,,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,9,1.482,1,0,7,7,7,1,3 × 3 =,9,,
,,,,,,,,,,,,,,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,10,1.3823,1,0,8,8,8,1,5 × 2 =,10,,
,,,,,,,,,,,,,,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,16,2.0154,1,0,9,9,9,1,4 × 4 =,16,,
,,,,,,,,,,,,,,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,24,1.7987,1,0,10,10,10,1,8 × 3 =,24,,
,,,,,,,,,,,,,,747,2022-01-18_22h58.19.249,timed_fluency,2021.2.3,Win32,59.56280898,,,,,,,,,,30,1.5821,1,0,11,11,11,1,6 × 5 =,30,,
