windowSize,welcomeResp.keys,welcomeResp.rt,typingInstr_resp.keys,typingInstr_resp.rt,TypedAnswer1,typingRT1,typingCorr,roundNo.thisRepN,roundNo.thisTrialN,roundNo.thisN,roundNo.thisIndex,roundNo.ran,typedStimulus,participant,date,expName,psychopyVersion,OS,frameRate,typingTrials.thisRepN,typingTrials.thisTrialN,typingTrials.thisN,typingTrials.thisIndex,typingTrials.ran,typingStimulusFile,roundNo,trialIstr_resp.keys,trialIstr_resp.rt,TypT_answer,typingRT,multiplyCorr,trials_presentation.thisRepN,trials_presentation.thisTrialN,trials_presentation.thisN,trials_presentation.thisIndex,trials_presentation.ran,problem,answers,exitkey_resp.keys,exitkey_resp.rt
"[1366,625]",space,3.6201,space,2.0316,10,3.3907,1,0,0,0,4,1,10,708,2022-01-27_11h17.04.809,timed_fluency,2021.2.3,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,
,,,,,4,1.6548,1,0,1,1,0,1,4,708,2022-01-27_11h17.04.809,timed_fluency,2021.2.3,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,
,,,,,36,2.0164,1,0,2,2,19,1,36,708,2022-01-27_11h17.04.809,timed_fluency,2021.2.3,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,
,,,,,24,1.7498,1,0,3,3,12,1,24,708,2022-01-27_11h17.04.809,timed_fluency,2021.2.3,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,
,,,,,40,1.9669,1,0,4,4,20,1,40,708,2022-01-27_11h17.04.809,timed_fluency,2021.2.3,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,
,,,,,49,1.9657,1,0,5,5,24,1,49,708,2022-01-27_11h17.04.809,timed_fluency,2021.2.3,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,
,,,,,8,1.683,1,0,6,6,2,1,8,708,2022-01-27_11h17.04.809,timed_fluency,2021.2.3,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,
,,,,,21,2.1301,1,0,7,7,11,1,21,708,2022-01-27_11h17.04.809,timed_fluency,2021.2.3,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,
,,,,,20,1.7835,1,0,8,8,10,1,20,708,2022-01-27_11h17.04.809,timed_fluency,2021.2.3,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,
,,,,,14,1.6661,1,0,9,9,6,1,14,708,2022-01-27_11h17.04.809,timed_fluency,2021.2.3,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,
,,,,,9,1.6496,1,0,10,10,3,1,9,708,2022-01-27_11h17.04.809,timed_fluency,2021.2.3,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,
,,,,,63,2.1164,1,0,11,11,27,1,63,708,2022-01-27_11h17.04.809,timed_fluency,2021.2.3,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,
,,,,,27,1.9331,1,0,12,12,14,1,27,708,2022-01-27_11h17.04.809,timed_fluency,2021.2.3,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,
,,,,,35,2.1666,1,0,13,13,18,1,35,708,2022-01-27_11h17.04.809,timed_fluency,2021.2.3,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,
,,,,,48,2.1666,1,0,14,14,23,1,48,708,2022-01-27_11h17.04.809,timed_fluency,2021.2.3,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,
,,,,,15,2.0165,1,0,15,15,7,1,15,708,2022-01-27_11h17.04.809,timed_fluency,2021.2.3,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,
,,,,,42,1.6343,1,0,16,16,21,1,42,708,2022-01-27_11h17.04.809,timed_fluency,2021.2.3,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,
,,,,,18,1.9647,1,0,17,17,9,1,18,708,2022-01-27_11h17.04.809,timed_fluency,2021.2.3,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,
,,,,,64,1.8996,1,0,18,18,28,1,64,708,2022-01-27_11h17.04.809,timed_fluency,2021.2.3,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,
,,,,,32,1.5344,1,0,19,19,17,1,32,708,2022-01-27_11h17.04.809,timed_fluency,2021.2.3,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,
,,,,,45,1.5973,1,0,20,20,22,1,45,708,2022-01-27_11h17.04.809,timed_fluency,2021.2.3,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,
,,,,,16,1.6998,1,0,21,21,8,1,16,708,2022-01-27_11h17.04.809,timed_fluency,2021.2.3,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,
,,,,,25,1.5841,1,0,22,22,13,1,25,708,2022-01-27_11h17.04.809,timed_fluency,2021.2.3,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,
,,,,,72,2.1817,1,0,23,23,29,1,72,708,2022-01-27_11h17.04.809,timed_fluency,2021.2.3,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,
,,,,,28,1.8165,1,0,24,24,15,1,28,708,2022-01-27_11h17.04.809,timed_fluency,2021.2.3,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,
,,,,,30,2.1834,1,0,25,25,16,1,30,708,2022-01-27_11h17.04.809,timed_fluency,2021.2.3,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,
,,,,,54,1.5677,1,0,26,26,25,1,54,708,2022-01-27_11h17.04.809,timed_fluency,2021.2.3,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,
,,,,,56,1.4642,1,0,27,27,26,1,56,708,2022-01-27_11h17.04.809,timed_fluency,2021.2.3,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,
,,,,,6,1.2998,1,0,28,28,1,1,6,708,2022-01-27_11h17.04.809,timed_fluency,2021.2.3,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,
,,,,,81,2.6999,1,0,29,29,30,1,81,708,2022-01-27_11h17.04.809,timed_fluency,2021.2.3,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,
,,,,,12,1.2906,1,0,30,30,5,1,12,708,2022-01-27_11h17.04.809,timed_fluency,2021.2.3,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,708,2022-01-27_11h17.04.809,timed_fluency,2021.2.3,Win32,59.95563283,0,0,0,0,1,typing.xlsx,1,,,,,,,,,,,,,,
,,,,,63,2.6552,1,0,0,0,27,1,63,708,2022-01-27_11h17.04.809,timed_fluency,2021.2.3,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,
,,,,,40,1.8826,1,0,1,1,20,1,40,708,2022-01-27_11h17.04.809,timed_fluency,2021.2.3,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,
,,,,,18,2.2191,1,0,2,2,9,1,18,708,2022-01-27_11h17.04.809,timed_fluency,2021.2.3,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,
,,,,,28,1.8666,1,0,3,3,15,1,28,708,2022-01-27_11h17.04.809,timed_fluency,2021.2.3,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,
,,,,,16,1.6302,1,0,4,4,8,1,16,708,2022-01-27_11h17.04.809,timed_fluency,2021.2.3,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,
