windowSize,welcomeResp.keys,welcomeResp.rt,typingInstr_resp.keys,typingInstr_resp.rt,TypedAnswer1,typingRT1,typingCorr,roundNo.thisRepN,roundNo.thisTrialN,roundNo.thisN,roundNo.thisIndex,roundNo.ran,typedStimulus,participant,date,expName,psychopyVersion,OS,frameRate,typingTrials.thisRepN,typingTrials.thisTrialN,typingTrials.thisN,typingTrials.thisIndex,typingTrials.ran,typingStimulusFile,roundNo,trialIstr_resp.keys,trialIstr_resp.rt,TypT_answer,typingRT,multiplyCorr,trials_presentation.thisRepN,trials_presentation.thisTrialN,trials_presentation.thisN,trials_presentation.thisIndex,trials_presentation.ran,problem,answers,exitkey_resp.keys,exitkey_resp.rt
"[1440,820]",space,14.839,space,10.467,4,2.153,1,0,0,0,0,1,4,680,2022-02-13_15h41.34,timed_fluency,2021.2.3,MacIntel,125,,,,,,,,,,,,,,,,,,,,,
,,,,,24,1.766,1,0,1,1,12,1,24,680,2022-02-13_15h41.34,timed_fluency,2021.2.3,MacIntel,125,,,,,,,,,,,,,,,,,,,,,
,,,,,32,1.399,1,0,2,2,17,1,32,680,2022-02-13_15h41.34,timed_fluency,2021.2.3,MacIntel,125,,,,,,,,,,,,,,,,,,,,,
,,,,,40,1.582,1,0,3,3,20,1,40,680,2022-02-13_15h41.34,timed_fluency,2021.2.3,MacIntel,125,,,,,,,,,,,,,,,,,,,,,
,,,,,18,1.517,1,0,4,4,9,1,18,680,2022-02-13_15h41.34,timed_fluency,2021.2.3,MacIntel,125,,,,,,,,,,,,,,,,,,,,,
,,,,,54,1.6,1,0,5,5,25,1,54,680,2022-02-13_15h41.34,timed_fluency,2021.2.3,MacIntel,125,,,,,,,,,,,,,,,,,,,,,
,,,,,72,1.565,1,0,6,6,29,1,72,680,2022-02-13_15h41.34,timed_fluency,2021.2.3,MacIntel,125,,,,,,,,,,,,,,,,,,,,,
,,,,,28,1.532,1,0,7,7,15,1,28,680,2022-02-13_15h41.34,timed_fluency,2021.2.3,MacIntel,125,,,,,,,,,,,,,,,,,,,,,
,,,,,30,1.798,1,0,8,8,16,1,30,680,2022-02-13_15h41.34,timed_fluency,2021.2.3,MacIntel,125,,,,,,,,,,,,,,,,,,,,,
,,,,,42,2.05,1,0,9,9,21,1,42,680,2022-02-13_15h41.34,timed_fluency,2021.2.3,MacIntel,125,,,,,,,,,,,,,,,,,,,,,
,,,,,27,1.667,1,0,10,10,14,1,27,680,2022-02-13_15h41.34,timed_fluency,2021.2.3,MacIntel,125,,,,,,,,,,,,,,,,,,,,,
,,,,,56,1.715,1,0,11,11,26,1,56,680,2022-02-13_15h41.34,timed_fluency,2021.2.3,MacIntel,125,,,,,,,,,,,,,,,,,,,,,
,,,,,25,1.583,1,0,12,12,13,1,25,680,2022-02-13_15h41.34,timed_fluency,2021.2.3,MacIntel,125,,,,,,,,,,,,,,,,,,,,,
,,,,,15,1.484,1,0,13,13,7,1,15,680,2022-02-13_15h41.34,timed_fluency,2021.2.3,MacIntel,125,,,,,,,,,,,,,,,,,,,,,
,,,,,48,2.082,1,0,14,14,23,1,48,680,2022-02-13_15h41.34,timed_fluency,2021.2.3,MacIntel,125,,,,,,,,,,,,,,,,,,,,,
,,,,,8,1.516,1,0,15,15,2,1,8,680,2022-02-13_15h41.34,timed_fluency,2021.2.3,MacIntel,125,,,,,,,,,,,,,,,,,,,,,
,,,,,49,1.967,1,0,16,16,24,1,49,680,2022-02-13_15h41.34,timed_fluency,2021.2.3,MacIntel,125,,,,,,,,,,,,,,,,,,,,,
,,,,,63,1.982,1,0,17,17,27,1,63,680,2022-02-13_15h41.34,timed_fluency,2021.2.3,MacIntel,125,,,,,,,,,,,,,,,,,,,,,
,,,,,21,1.316,1,0,18,18,11,1,21,680,2022-02-13_15h41.34,timed_fluency,2021.2.3,MacIntel,125,,,,,,,,,,,,,,,,,,,,,
,,,,,6,1.266,1,0,19,19,1,1,6,680,2022-02-13_15h41.34,timed_fluency,2021.2.3,MacIntel,125,,,,,,,,,,,,,,,,,,,,,
,,,,,35,1.799,1,0,20,20,18,1,35,680,2022-02-13_15h41.34,timed_fluency,2021.2.3,MacIntel,125,,,,,,,,,,,,,,,,,,,,,
,,,,,81,1.599,1,0,21,21,30,1,81,680,2022-02-13_15h41.34,timed_fluency,2021.2.3,MacIntel,125,,,,,,,,,,,,,,,,,,,,,
,,,,,10,1.399,1,0,22,22,4,1,10,680,2022-02-13_15h41.34,timed_fluency,2021.2.3,MacIntel,125,,,,,,,,,,,,,,,,,,,,,
,,,,,45,2.816,1,0,23,23,22,1,45,680,2022-02-13_15h41.34,timed_fluency,2021.2.3,MacIntel,125,,,,,,,,,,,,,,,,,,,,,
,,,,,20,1.667,1,0,24,24,10,1,20,680,2022-02-13_15h41.34,timed_fluency,2021.2.3,MacIntel,125,,,,,,,,,,,,,,,,,,,,,
,,,,,16,1.382,1,0,25,25,8,1,16,680,2022-02-13_15h41.34,timed_fluency,2021.2.3,MacIntel,125,,,,,,,,,,,,,,,,,,,,,
