windowSize,welcomeResp.keys,welcomeResp.rt,typingInstr_resp.keys,typingInstr_resp.rt,TypedAnswer1,typingRT1,typingCorr,roundNo.thisRepN,roundNo.thisTrialN,roundNo.thisN,roundNo.thisIndex,roundNo.ran,typedStimulus,participant,date,expName,psychopyVersion,OS,frameRate,typingTrials.thisRepN,typingTrials.thisTrialN,typingTrials.thisN,typingTrials.thisIndex,typingTrials.ran,typingStimulusFile,roundNo,trialIstr_resp.keys,trialIstr_resp.rt,TypT_answer,typingRT,multiplyCorr,trials_presentation.thisRepN,trials_presentation.thisTrialN,trials_presentation.thisN,trials_presentation.thisIndex,trials_presentation.ran,problem,answers,exitkey_resp.keys,exitkey_resp.rt
"[1536,714]",space,11.2131,space,7.6764,4,2.425,1,0,0,0,0,1,4,823,2022-01-12_23h47.16.932,timed_fluency,2021.2.3,Win32,60.17933442,,,,,,,,,,,,,,,,,,,,,
,,,,,28,1.9032,1,0,1,1,15,1,28,823,2022-01-12_23h47.16.932,timed_fluency,2021.2.3,Win32,60.17933442,,,,,,,,,,,,,,,,,,,,,
,,,,,18,1.6442,1,0,2,2,9,1,18,823,2022-01-12_23h47.16.932,timed_fluency,2021.2.3,Win32,60.17933442,,,,,,,,,,,,,,,,,,,,,
,,,,,21,1.3968,1,0,3,3,11,1,21,823,2022-01-12_23h47.16.932,timed_fluency,2021.2.3,Win32,60.17933442,,,,,,,,,,,,,,,,,,,,,
,,,,,8,1.3521,1,0,4,4,2,1,8,823,2022-01-12_23h47.16.932,timed_fluency,2021.2.3,Win32,60.17933442,,,,,,,,,,,,,,,,,,,,,
,,,,,40,1.6829,1,0,5,5,20,1,40,823,2022-01-12_23h47.16.932,timed_fluency,2021.2.3,Win32,60.17933442,,,,,,,,,,,,,,,,,,,,,
,,,,,35,1.4818,1,0,6,6,18,1,35,823,2022-01-12_23h47.16.932,timed_fluency,2021.2.3,Win32,60.17933442,,,,,,,,,,,,,,,,,,,,,
,,,,,49,1.6939,1,0,7,7,24,1,49,823,2022-01-12_23h47.16.932,timed_fluency,2021.2.3,Win32,60.17933442,,,,,,,,,,,,,,,,,,,,,
,,,,,45,1.3645,1,0,8,8,22,1,45,823,2022-01-12_23h47.16.932,timed_fluency,2021.2.3,Win32,60.17933442,,,,,,,,,,,,,,,,,,,,,
,,,,,30,2.3305,1,0,9,9,16,1,30,823,2022-01-12_23h47.16.932,timed_fluency,2021.2.3,Win32,60.17933442,,,,,,,,,,,,,,,,,,,,,
,,,,,64,1.8317,1,0,10,10,28,1,64,823,2022-01-12_23h47.16.932,timed_fluency,2021.2.3,Win32,60.17933442,,,,,,,,,,,,,,,,,,,,,
,,,,,42,1.4973,1,0,11,11,21,1,42,823,2022-01-12_23h47.16.932,timed_fluency,2021.2.3,Win32,60.17933442,,,,,,,,,,,,,,,,,,,,,
