windowSize,welcomeResp.keys,welcomeResp.rt,typingInstr_resp.keys,typingInstr_resp.rt,TypedAnswer1,typingRT1,typingCorr,roundNo.thisRepN,roundNo.thisTrialN,roundNo.thisN,roundNo.thisIndex,roundNo.ran,typedStimulus,participant,date,expName,psychopyVersion,OS,frameRate,typingTrials.thisRepN,typingTrials.thisTrialN,typingTrials.thisN,typingTrials.thisIndex,typingTrials.ran,typingStimulusFile,roundNo,trialIstr_resp.keys,trialIstr_resp.rt,TypT_answer,typingRT,multiplyCorr,trials_presentation.thisRepN,trials_presentation.thisTrialN,trials_presentation.thisN,trials_presentation.thisIndex,trials_presentation.ran,problem,answers,exitkey_resp.keys,exitkey_resp.rt
"[1366,657]",space,38.5654,space,15.516,27,4.8801,1,0,0,0,14,1,27,656,2022-06-17_14h49.04.924,timed_fluency,2021.2.3,Win32,20.00560157,,,,,,,,,,,,,,,,,,,,,
,,,,,25,2.2439,1,0,1,1,13,1,25,656,2022-06-17_14h49.04.924,timed_fluency,2021.2.3,Win32,20.00560157,,,,,,,,,,,,,,,,,,,,,
,,,,,16,2.3231,1,0,2,2,8,1,16,656,2022-06-17_14h49.04.924,timed_fluency,2021.2.3,Win32,20.00560157,,,,,,,,,,,,,,,,,,,,,
,,,,,18,2.2143,1,0,3,3,9,1,18,656,2022-06-17_14h49.04.924,timed_fluency,2021.2.3,Win32,20.00560157,,,,,,,,,,,,,,,,,,,,,
,,,,,24,1.9117,1,0,4,4,12,1,24,656,2022-06-17_14h49.04.924,timed_fluency,2021.2.3,Win32,20.00560157,,,,,,,,,,,,,,,,,,,,,
,,,,,42,2.104,1,0,5,5,21,1,42,656,2022-06-17_14h49.04.924,timed_fluency,2021.2.3,Win32,20.00560157,,,,,,,,,,,,,,,,,,,,,
,,,,,32,1.9064,1,0,6,6,17,1,32,656,2022-06-17_14h49.04.924,timed_fluency,2021.2.3,Win32,20.00560157,,,,,,,,,,,,,,,,,,,,,
,,,,,40,2.1635,1,0,7,7,20,1,40,656,2022-06-17_14h49.04.924,timed_fluency,2021.2.3,Win32,20.00560157,,,,,,,,,,,,,,,,,,,,,
,,,,,64,2.6014,1,0,8,8,28,1,64,656,2022-06-17_14h49.04.924,timed_fluency,2021.2.3,Win32,20.00560157,,,,,,,,,,,,,,,,,,,,,
,,,,,36,2.1225,1,0,9,9,19,1,36,656,2022-06-17_14h49.04.924,timed_fluency,2021.2.3,Win32,20.00560157,,,,,,,,,,,,,,,,,,,,,
,,,,,49,2.4215,1,0,10,10,24,1,49,656,2022-06-17_14h49.04.924,timed_fluency,2021.2.3,Win32,20.00560157,,,,,,,,,,,,,,,,,,,,,
,,,,,14,1.9529,1,0,11,11,6,1,14,656,2022-06-17_14h49.04.924,timed_fluency,2021.2.3,Win32,20.00560157,,,,,,,,,,,,,,,,,,,,,
,,,,,56,2.1662,1,0,12,12,26,1,56,656,2022-06-17_14h49.04.924,timed_fluency,2021.2.3,Win32,20.00560157,,,,,,,,,,,,,,,,,,,,,
,,,,,20,2.2602,1,0,13,13,10,1,20,656,2022-06-17_14h49.04.924,timed_fluency,2021.2.3,Win32,20.00560157,,,,,,,,,,,,,,,,,,,,,
,,,,,30,1.9506,1,0,14,14,16,1,30,656,2022-06-17_14h49.04.924,timed_fluency,2021.2.3,Win32,20.00560157,,,,,,,,,,,,,,,,,,,,,
,,,,,21,1.7756,1,0,15,15,11,1,21,656,2022-06-17_14h49.04.924,timed_fluency,2021.2.3,Win32,20.00560157,,,,,,,,,,,,,,,,,,,,,
,,,,,12,1.5575,1,0,16,16,5,1,12,656,2022-06-17_14h49.04.924,timed_fluency,2021.2.3,Win32,20.00560157,,,,,,,,,,,,,,,,,,,,,
,,,,,10,2.5464,1,0,17,17,4,1,10,656,2022-06-17_14h49.04.924,timed_fluency,2021.2.3,Win32,20.00560157,,,,,,,,,,,,,,,,,,,,,
,,,,,6,1.8606,1,0,18,18,1,1,6,656,2022-06-17_14h49.04.924,timed_fluency,2021.2.3,Win32,20.00560157,,,,,,,,,,,,,,,,,,,,,
,,,,,35,2.4218,1,0,19,19,18,1,35,656,2022-06-17_14h49.04.924,timed_fluency,2021.2.3,Win32,20.00560157,,,,,,,,,,,,,,,,,,,,,
,,,,,15,2.1618,1,0,20,20,7,1,15,656,2022-06-17_14h49.04.924,timed_fluency,2021.2.3,Win32,20.00560157,,,,,,,,,,,,,,,,,,,,,
,,,,,48,2.4573,1,0,21,21,23,1,48,656,2022-06-17_14h49.04.924,timed_fluency,2021.2.3,Win32,20.00560157,,,,,,,,,,,,,,,,,,,,,
